date,income,outcome,balance,Тип дня,Рабочий день (1/0),НДС,НДФЛ,Страховые взносы,Акцизы,Налог на имущество организаций,Транспортный налог,Налог на землю,Налог на прибыль,digitalization_level,age_0_14,age_15_64,age_65_plus,population_density,consumer_confidence_index,gdp_per_capita,unemployment_rate,trade_balance,inflation_rate,CLOSE,USD_Rate
2017-04-20,1.167651615899785,1.042982887232385,0.1246687286674,Рабочий,1,0,0,0,0,0,0,0,0,76.0,17.4581488715681,68.3009219594445,14.2409291689874,8.87185768709161,71.0880065154524,10658.9130859375,5.238,83515016702.74597,3.68332944412233,1932.17,56.567901611328125
2017-04-21,0.9113010897451196,0.9984635816958527,-0.08716249195073311,Рабочий,1,0,0,0,0,0,0,0,0,76.0,17.4581488715681,68.3009219594445,14.2409291689874,8.87185768709161,71.0880065154524,10658.9130859375,5.238,83515016702.74597,3.68332944412233,1944.72,56.10940170288086
2017-04-24,1.119605221093887,1.250073971944457,-0.1304687508505702,Рабочий,1,0,0,0,0,0,0,0,0,76.0,17.4581488715681,68.3009219594445,14.2409291689874,8.87185768709161,71.0880065154524,10658.9130859375,5.238,83515016702.74597,3.68332944412233,1979.57,56.42649841308594
2017-04-25,1.222779269859312,1.408863172901569,-0.186083903042257,Рабочий,1,0,0,0,0,0,0,0,0,76.0,17.4581488715681,68.3009219594445,14.2409291689874,8.87185768709161,71.0880065154524,10658.9130859375,5.238,83515016702.74597,3.68332944412233,1998.41,55.77989959716797
2017-04-26,1.300629066056166,1.356195390737025,-0.05556632468085887,Рабочий,1,0,0,0,0,0,0,0,0,76.0,17.4581488715681,68.3009219594445,14.2409291689874,8.87185768709161,71.0880065154524,10658.9130859375,5.238,83515016702.74597,3.68332944412233,2026.92,56.060001373291016
2017-04-27,1.501031791689522,1.47469790060725,0.02633389108227235,Рабочий,1,0,0,0,0,0,0,0,0,76.0,17.4581488715681,68.3009219594445,14.2409291689874,8.87185768709161,71.0880065154524,10658.9130859375,5.238,83515016702.74597,3.68332944412233,2011.67,57.09700012207031
2017-04-28,1.501031791689522,1.935540994547016,-0.4345092028574933,Рабочий,1,1,1,0,0,0,0,0,0,76.0,17.4581488715681,68.3009219594445,14.2409291689874,8.87185768709161,71.0880065154524,10658.9130859375,5.238,83515016702.74597,3.68332944412233,2016.71,56.97200012207031
2017-05-01,0.0,0.0,0.0,Выходной,0,0,0,0,1,0,0,0,0,76.0,17.4581488715681,68.3009219594445,14.2409291689874,8.87185768709161,71.0880065154524,10658.9130859375,5.238,83515016702.74597,3.68332944412233,0.0,56.93199920654297
2017-05-02,1.230068563184249,1.395696227360433,-0.1656276641761836,Рабочий,1,0,0,0,0,0,0,0,0,76.0,17.4581488715681,68.3009219594445,14.2409291689874,8.87185768709161,71.0880065154524,10658.9130859375,5.238,83515016702.74597,3.68332944412233,2026.85,56.97380065917969
2017-05-03,0.9407604268539976,1.016388559062917,-0.07562813220891929,Рабочий,1,0,0,0,0,0,0,0,0,76.0,17.4581488715681,68.3009219594445,14.2409291689874,8.87185768709161,71.0880065154524,10658.9130859375,5.238,83515016702.74597,3.68332944412233,1993.66,57.0546989440918
2017-05-04,1.114580119911292,0.8358375723352237,0.2787425475760684,Рабочий,1,0,0,0,0,0,0,0,0,76.0,17.4581488715681,68.3009219594445,14.2409291689874,8.87185768709161,71.0880065154524,10658.9130859375,5.238,83515016702.74597,3.68332944412233,1998.87,57.325401306152344
2017-05-05,1.151422749643336,0.9411555770809029,0.2102671725624327,Рабочий,1,0,0,0,0,0,0,0,0,76.0,17.4581488715681,68.3009219594445,14.2409291689874,8.87185768709161,71.0880065154524,10658.9130859375,5.238,83515016702.74597,3.68332944412233,2002.41,58.36000061035156
2017-05-08,0.0,0.0,0.0,Выходной,0,0,0,0,0,0,0,0,0,76.0,17.4581488715681,68.3009219594445,14.2409291689874,8.87185768709161,71.0880065154524,10658.9130859375,5.238,83515016702.74597,3.68332944412233,0.0,58.047000885009766
2017-05-09,0.0,0.0,0.0,Выходной,0,0,0,0,0,0,0,0,0,76.0,17.4581488715681,68.3009219594445,14.2409291689874,8.87185768709161,71.0880065154524,10658.9130859375,5.238,83515016702.74597,3.68332944412233,0.0,58.20500183105469
2017-05-10,1.185414482965704,1.356195390737025,-0.1707809077713205,Рабочий,1,0,0,0,0,0,0,0,0,76.0,17.4581488715681,68.3009219594445,14.2409291689874,8.87185768709161,71.0880065154524,10658.9130859375,5.238,83515016702.74597,3.68332944412233,2028.21,58.41899871826172
2017-05-11,1.395696227360433,1.527365682771795,-0.1316694554113618,Рабочий,1,0,0,0,0,0,0,0,0,76.0,17.4581488715681,68.3009219594445,14.2409291689874,8.87185768709161,71.0880065154524,10658.9130859375,5.238,83515016702.74597,3.68332944412233,2002.54,57.43960189819336
2017-05-12,1.177616424724348,1.090198185805089,0.08741823891925926,Рабочий,1,0,0,0,0,0,0,0,0,76.0,17.4581488715681,68.3009219594445,14.2409291689874,8.87185768709161,71.0880065154524,10658.9130859375,5.238,83515016702.74597,3.68332944412233,1994.58,57.07040023803711
2017-05-15,1.266279040105532,1.277811976237194,-0.01153293613166184,Рабочий,1,0,0,0,0,0,0,0,0,76.0,17.4581488715681,68.3009219594445,14.2409291689874,8.87185768709161,71.0880065154524,10658.9130859375,5.238,83515016702.74597,3.68332944412233,2003.12,57.0817985534668
2017-05-16,1.187869424845605,1.063939597248049,0.123929827597556,Рабочий,1,0,0,0,0,0,0,0,0,76.0,17.4581488715681,68.3009219594445,14.2409291689874,8.87185768709161,71.0880065154524,10658.9130859375,5.238,83515016702.74597,3.68332944412233,1992.94,56.333499908447266
2017-05-17,1.097412001010408,1.174756780643732,-0.07734477963332442,Рабочий,1,0,0,0,0,0,0,0,0,76.0,17.4581488715681,68.3009219594445,14.2409291689874,8.87185768709161,71.0880065154524,10658.9130859375,5.238,83515016702.74597,3.68332944412233,1994.35,56.426998138427734
2017-05-18,1.306750389440127,1.175520474519018,0.1312299149211087,Рабочий,1,0,0,0,0,0,0,0,0,76.0,17.4581488715681,68.3009219594445,14.2409291689874,8.87185768709161,71.0880065154524,10658.9130859375,5.238,83515016702.74597,3.68332944412233,1967.66,57.0713005065918
2017-05-19,1.053197260288691,1.042989438222301,0.01020782206639059,Рабочий,1,0,0,0,0,0,0,0,0,76.0,17.4581488715681,68.3009219594445,14.2409291689874,8.87185768709161,71.0880065154524,10658.9130859375,5.238,83515016702.74597,3.68332944412233,1962.4,57.52579879760742
2017-05-22,1.316694554113616,1.288598501794961,0.02809605231865508,Рабочий,1,0,0,0,0,0,0,0,0,76.0,17.4581488715681,68.3009219594445,14.2409291689874,8.87185768709161,71.0880065154524,10658.9130859375,5.238,83515016702.74597,3.68332944412233,1950.51,56.926998138427734
